0 0 0.000000
0 1 0.000000
0 2 0.000000
0 3 0.000000
0 4 0.000000
0 5 0.000000
0 6 0.000000
0 7 0.000000
0 8 0.000000
0 9 0.000000
0 10 0.000000
0 11 0.000000
0 12 0.000000
0 13 0.000000
0 14 0.000000
0 15 0.000000
0 16 0.000000
0 17 0.000000
0 18 0.000000
0 19 0.000000
0 20 0.000000
0 21 0.000000
0 22 0.000000
0 23 0.000000
0 24 0.000000
0 25 0.000000
0 26 0.000000
0 27 0.000000
0 28 0.000000
0 29 0.000000
0 30 0.000000
0 31 100.000000

1 0 0.000000
1 1 0.228020
1 2 0.456052
1 3 0.684107
1 4 0.912312
1 5 1.140862
1 6 1.370126
1 7 1.600641
1 8 1.833138
1 9 2.068675
1 10 2.308548
1 11 2.554491
1 12 2.808654
1 13 3.073766
1 14 3.353218
1 15 3.651356
1 16 3.973561
1 17 4.326883
1 18 4.720340
1 19 5.165994
1 20 5.680105
1 21 6.285346
1 22 7.014201
1 23 7.915197
1 24 9.064030
1 25 10.585900
1 26 12.702826
1 27 15.844643
1 28 20.936958
1 29 30.234233
1 30 50.000000
1 31 100.000000

2 0 0.000000
2 1 0.456052
2 2 0.912070
2 3 1.368082
2 4 1.824274
2 5 2.281031
2 6 2.739023
2 7 3.199279
2 8 3.663279
2 9 4.133012
2 10 4.611050
2 11 5.100786
2 12 5.606382
2 13 6.133197
2 14 6.687820
2 15 7.278632
2 16 7.916084
2 17 8.613632
2 18 9.388525
2 19 10.263542
2 20 11.269112
2 21 12.447071
2 22 13.856296
2 23 15.582551
2 24 17.755043
2 25 20.576755
2 26 24.380778
2 27 29.738810
2 28 37.668940
2 29 50.000000
2 30 69.765767
2 31 100.000000

3 0 0.000000
3 1 0.684107
3 2 1.368082
3 3 2.051882
3 4 2.735663
3 5 3.419944
3 6 4.105627
3 7 4.794186
3 8 5.487699
3 9 6.189014
3 10 6.901897
3 11 7.631158
3 12 8.382918
3 13 9.164767
3 14 9.986262
3 15 10.859220
3 16 11.798540
